人员类别,工号/志愿者编号,姓名,性别,民族,联系方式,出生日期,居住地址,入职时间,部门,岗位,岗位级别
维保人员,m0019,王鹏池,男,汉,18957021979,1977/12/18,西安市新城区新城大道,2016/5/8,安全检测与检测部门,安全检测技术员,资深
维保人员,m0020,边承恩,男,汉,14558232476,1998/10/7,西安市莲湖区莲湖路,2006/3/23,安全检测与检测部门,安全检测技术员,专家
维保人员,m0021,伊信鸥,男,汉,17604179490,1988/5/31,西安市高新区高新南路,2010/12/26,设备维护与管理部门,设备维护技术员,初级
维保人员,m0022,景高朗,男,汉,15741573830,1989/11/3,西安市未央区未央大道,2008/2/16,设备维护与管理部门,设备维护技术员,中级
维保人员,m0023,宋成天,男,汉,15098416658,1980/5/2,西安市灞桥区灞桥路,2012/6/20,设备维护与管理部门,设备维护技术员,高级
维保人员,m0024,程彭湃,男,汉,13590994930,1977/6/26,西安市阎良区阎良路,2015/12/15,设备维护与管理部门,设备维护技术员,资深
维保人员,m0025,谷锐立,男,汉,18587994263,1980/11/12,西安市长安区长安大道,2018/5/11,设备维护与管理部门,设备维护技术员,专家
维保人员,m0026,甘飞星,男,汉,17385632901,1994/8/7,西安市周至县周至路,2017/6/5,设备维护与管理部门,设备维护技术员,初级
维保人员,m0027,晏正谊,男,汉,13320061179,1998/2/14,西安市户县户县路,2012/1/16,电力维护部门,电力维修技术员,中级
维保人员,m0028,朱博厚,男,汉,15625149164,1994/8/24,西安市蓝田县蓝田路,2012/12/26,电力维护部门,电力维修技术员,高级
维保人员,m0029,扈修谨,男,汉,15587661984,1979/12/1,西安市高陵区高陵路,2010/10/23,通信维护部门,通信维护员,资深
维保人员,m0030,咸元洲,男,汉,17330075691,1974/3/23,西安市临潼区临潼路,2018/3/1,通信维护部门,通信维护员,专家
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
